#segundos nanosegundos Rango theta Radio
501 365000000 3.175541 -1.248063 0.303906
501 365000000 6.311817 -0.321841 0.488546
501 365000000 2.511401 0.000805 0.275248
501 365000000 6.268053 1.072955 0.492010
501 365000000 2.449714 1.570503 0.498545
501 390000000 3.149593 -1.245900 0.277773
501 390000000 6.337393 -0.322763 0.513117
501 390000000 2.510089 0.000032 0.273573
501 390000000 6.274751 1.072961 0.496887
501 390000000 2.448705 1.569524 0.495546
501 415000000 3.176550 -1.247721 0.304097
501 415000000 6.305204 -0.320432 0.479215
501 415000000 2.507602 0.001740 0.268213
501 415000000 6.286064 1.072726 0.507038
501 415000000 2.450860 1.570476 0.499165
501 441000000 3.172244 -1.249476 0.299466
501 441000000 6.279395 -0.320199 0.454655
501 441000000 2.505234 0.001793 0.267266
501 441000000 6.270520 1.072778 0.492598
501 441000000 2.444951 1.569028 0.492448
501 466000000 3.169221 -1.250289 0.298869
501 466000000 6.346956 -0.322201 0.522641
501 466000000 2.505767 -0.000221 0.271260
501 466000000 6.284894 1.073438 0.506578
501 466000000 2.445697 1.569934 0.495105
501 498000000 3.166868 -1.249201 0.295502
501 498000000 6.294956 -0.320048 0.468819
501 498000000 2.507118 0.000328 0.271218
501 498000000 6.290265 1.073072 0.509821
501 498000000 2.450527 1.571310 0.500056
501 523000000 3.164422 -1.249753 0.295355
501 523000000 6.275945 -0.320004 0.451006
501 523000000 2.503662 0.000045 0.268469
501 523000000 6.278973 1.072849 0.500326
501 523000000 2.457780 1.572301 0.506344
501 548000000 3.165772 -1.248529 0.294804
501 548000000 6.309921 -0.321487 0.485763
501 548000000 2.499327 0.000051 0.265074
501 548000000 6.273386 1.072769 0.495630
501 548000000 2.446285 1.569625 0.494298
501 573000000 3.183223 -1.247037 0.309864
501 573000000 6.303005 -0.321262 0.478054
501 573000000 2.510918 -0.003481 0.281435
501 573000000 6.287425 1.073126 0.507984
501 573000000 2.454968 1.571048 0.501994
501 600000000 3.175149 -1.250371 0.302586
501 600000000 6.294075 -0.320493 0.469211
501 600000000 2.507379 0.001136 0.269701
501 600000000 6.269571 1.073154 0.492802
501 600000000 2.463289 1.573472 0.511863
501 623000000 3.168252 -1.248198 0.295525
501 623000000 6.354147 -0.322606 0.530039
501 623000000 2.506111 0.001478 0.268382
501 623000000 6.275847 1.072981 0.497117
501 623000000 2.453555 1.570967 0.501053
501 648000000 3.158999 -1.247933 0.287722
501 648000000 6.317452 -0.321261 0.491590
501 648000000 2.516588 -0.002619 0.282658
501 648000000 6.275068 1.072506 0.497117
501 648000000 2.454097 1.571217 0.501758
501 676000000 3.177774 -1.251329 0.306461
501 676000000 6.322052 -0.322334 0.497618
501 676000000 2.516413 -0.002317 0.281912
501 676000000 6.281263 1.073278 0.502784
501 676000000 2.459708 1.573509 0.509879
501 699000000 3.163570 -1.248576 0.292368
501 699000000 6.307090 -0.320806 0.483003
501 699000000 2.509883 0.001001 0.272923
501 699000000 6.272834 1.072732 0.495615
501 699000000 2.454984 1.571965 0.504039
501 725000000 3.176312 -1.247772 0.304273
501 725000000 6.356105 -0.322285 0.530934
501 725000000 2.515225 -0.001889 0.279877
501 725000000 6.274389 1.072496 0.496677
501 725000000 2.445374 1.568358 0.491619
501 748000000 3.172412 -1.248163 0.299365
501 748000000 6.300183 -0.320427 0.475102
501 748000000 2.512831 0.000800 0.275973
501 748000000 6.293241 1.073003 0.513075
501 748000000 2.453742 1.571067 0.501404
501 774000000 3.162664 -1.249018 0.292378
501 774000000 6.279778 -0.320564 0.455304
501 774000000 2.507046 0.000447 0.270659
501 774000000 6.283763 1.072796 0.504792
501 774000000 2.466084 1.575171 0.516427
501 798000000 3.153469 -1.249477 0.283133
501 798000000 6.323560 -0.321489 0.498892
501 798000000 2.505193 0.000086 0.269469
501 798000000 6.292263 1.072716 0.512141
501 798000000 2.437918 1.567862 0.486832
501 824000000 3.165813 -1.249098 0.294477
501 824000000 6.377378 -0.322258 0.551758
501 824000000 2.500621 0.002405 0.263301
501 824000000 6.271108 1.072884 0.493526
501 824000000 2.454233 1.572209 0.504005
501 849000000 3.158621 -1.247995 0.287371
501 849000000 6.395626 -0.322937 0.569896
501 849000000 2.498079 0.003684 0.259885
501 849000000 6.280188 1.072740 0.501157
501 849000000 2.448986 1.569344 0.495211
501 874000000 3.171436 -1.251150 0.302704
501 874000000 6.282297 -0.320068 0.456958
501 874000000 2.507475 -0.000410 0.272744
501 874000000 6.291353 1.072939 0.510416
501 874000000 2.452873 1.570964 0.501024
501 899000000 3.187760 -1.246525 0.313552
501 899000000 6.289011 -0.319542 0.463438
501 899000000 2.510116 -0.001720 0.276932
501 899000000 6.276467 1.072924 0.498362
501 899000000 2.443002 1.568151 0.489691
501 924000000 3.141499 -1.248701 0.272929
501 924000000 6.288343 -0.320262 0.462933
501 924000000 2.505784 0.001540 0.267987
501 924000000 6.279973 1.073037 0.501042
501 924000000 2.450903 1.570596 0.499126
501 949000000 3.155831 -1.247225 0.284031
501 949000000 6.397706 -0.322856 0.571967
501 949000000 2.512043 -0.002719 0.279779
501 949000000 6.285732 1.072924 0.505781
501 949000000 2.460779 1.575517 0.514127
501 972000000 3.164173 -1.248009 0.291086
501 972000000 6.273117 -0.319535 0.447991
501 972000000 2.514859 -0.001864 0.279756
501 972000000 6.285566 1.072647 0.505392
501 972000000 2.443000 1.568372 0.490474
501 997000000 3.169564 -1.250046 0.299535
501 997000000 6.308612 -0.321833 0.485167
501 997000000 2.513175 -0.002196 0.279646
501 997000000 6.266243 1.072797 0.488439
501 997000000 2.450633 1.571090 0.499838
502 24000000 3.160722 -1.248355 0.289568
502 24000000 6.266476 -0.320319 0.443478
502 24000000 2.505069 0.000580 0.268911
502 24000000 6.277511 1.072917 0.499069
502 24000000 2.456040 1.571435 0.503546
502 49000000 3.144505 -1.249676 0.275003
502 49000000 6.313257 -0.321466 0.488659
502 49000000 2.504949 0.001737 0.267092
502 49000000 6.273246 1.072971 0.496027
502 49000000 2.451930 1.570083 0.498516
502 73000000 3.180394 -1.248903 0.307864
502 73000000 6.342702 -0.322541 0.518458
502 73000000 2.516184 -0.002012 0.280760
502 73000000 6.267897 1.073031 0.491062
502 73000000 2.463976 1.574620 0.514070
502 98000000 3.169376 -1.248203 0.297935
502 98000000 6.330881 -0.321203 0.505486
502 98000000 2.516145 0.001410 0.279024
502 98000000 6.274494 1.072439 0.496418
502 98000000 2.447320 1.569040 0.494205
502 124000000 5.661488 -1.498639 1.115118
502 124000000 3.154383 -1.246674 0.282027
502 124000000 6.340596 -0.321162 0.515009
502 124000000 2.503408 -0.000011 0.267496
502 124000000 6.288003 1.073246 0.508119
502 124000000 2.441008 1.567785 0.487859
502 148000000 3.165429 -1.248510 0.293752
502 148000000 6.373914 -0.323353 0.549919
502 148000000 2.513202 -0.001752 0.278795
502 148000000 6.268450 1.072896 0.491175
502 148000000 2.458971 1.573238 0.508629
502 174000000 3.170242 -1.249552 0.298095
502 174000000 6.348238 -0.320952 0.521609
502 174000000 2.504207 0.001244 0.267950
502 174000000 6.267664 1.072739 0.490295
502 174000000 2.453005 1.571171 0.501614
502 198000000 3.151827 -1.248752 0.280956
502 198000000 6.274578 -0.319028 0.449028
502 198000000 2.512137 -0.002030 0.279049
502 198000000 6.284847 1.072749 0.505603
502 198000000 2.453639 1.571563 0.502320
502 222000000 3.157256 -1.247511 0.285525
502 222000000 6.314005 -0.321125 0.489685
502 222000000 2.501915 0.002096 0.264904
502 222000000 6.272128 1.072914 0.493893
502 222000000 2.450553 1.570752 0.499038
502 250000000 3.176645 -1.251232 0.305962
502 250000000 6.369268 -0.322984 0.543448
502 250000000 2.507554 0.000346 0.271389
502 250000000 6.285473 1.072965 0.506433
502 250000000 2.453179 1.570979 0.500963
502 274000000 3.163943 -1.249045 0.291977
502 274000000 6.357065 -0.323032 0.533262
502 274000000 2.507987 0.001470 0.269341
502 274000000 6.298664 1.072989 0.517373
502 274000000 2.450179 1.570030 0.497094
502 297000000 3.169532 -1.249734 0.297964
502 297000000 6.323671 -0.321676 0.498800
502 297000000 2.511967 0.001403 0.275411
502 297000000 6.273120 1.072986 0.495069
502 297000000 2.446875 1.568811 0.493838
502 322000000 3.160041 -1.248025 0.288576
502 322000000 6.331213 -0.321988 0.507559
502 322000000 2.512479 -0.001307 0.277155
502 322000000 6.275172 1.072926 0.497171
502 322000000 2.444190 1.568945 0.492011
502 350000000 3.159580 -1.247992 0.288143
502 350000000 6.265368 -0.319571 0.440234
502 350000000 2.506813 -0.000306 0.272402
502 350000000 6.293663 1.073020 0.514351
502 350000000 2.445344 1.569352 0.493531
502 372000000 3.165193 -1.248550 0.294494
502 372000000 6.309371 -0.320513 0.483745
502 372000000 2.504888 0.001025 0.268723
502 372000000 6.285345 1.073137 0.506338
502 372000000 2.444474 1.568965 0.492481
502 399000000 3.164618 -1.249121 0.293880
502 399000000 6.308484 -0.320667 0.482167
502 399000000 2.506258 0.002440 0.266308
502 399000000 6.282053 1.072874 0.503098
502 399000000 2.446647 1.569542 0.494360
502 424000000 3.173210 -1.251479 0.304356
502 424000000 6.324853 -0.321971 0.500657
502 424000000 2.509853 -0.001754 0.276882
502 424000000 6.274584 1.072899 0.497425
502 424000000 2.447049 1.569329 0.494556
502 448000000 3.159546 -1.248195 0.289162
502 448000000 6.325289 -0.321394 0.499944
502 448000000 2.510789 -0.000204 0.274584
502 448000000 6.282805 1.072708 0.502817
502 448000000 2.443433 1.568707 0.490905
502 473000000 3.175707 -1.251243 0.305724
502 473000000 6.353769 -0.321992 0.528805
502 473000000 2.502767 0.000047 0.267227
502 473000000 6.277439 1.072615 0.498919
502 473000000 2.446056 1.569568 0.494583
502 499000000 3.173662 -1.247923 0.301895
502 499000000 6.299280 -0.320824 0.473803
502 499000000 2.507154 0.000745 0.270591
502 499000000 6.279017 1.072812 0.500174
502 499000000 2.447098 1.569855 0.495760
502 523000000 3.153628 -1.247417 0.283403
502 523000000 6.290051 -0.320075 0.465271
502 523000000 2.509900 0.000349 0.273642
502 523000000 6.285732 1.073217 0.505917
502 523000000 2.461259 1.574383 0.512268
502 549000000 3.173592 -1.251086 0.304095
502 549000000 6.338758 -0.321868 0.513766
502 549000000 2.511522 -0.001758 0.278011
502 549000000 6.277085 1.072940 0.498034
502 549000000 2.465625 1.575432 0.516609
502 573000000 3.156205 -1.246448 0.282106
502 573000000 6.323482 -0.321254 0.497850
502 573000000 2.505055 -0.000326 0.268946
502 573000000 6.282237 1.073024 0.502877
502 573000000 2.451255 1.570485 0.498846
502 600000000 3.156326 -1.247522 0.285557
502 600000000 6.362206 -0.322295 0.536976
